Taxon,Vernacular,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Quercus macrocarpa,Bur Oak,Quercus,704-2006,704-2006*1,United States of America,International Oak Society Seed Exchange,w,"Leonard, D.","United States of America, Kentucky, Fayette, Lexington",L-92,36-09,41.8145870000,-88.0542850000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,742-51,742-51*2,United States of America,Field Museum of Natural History,w,"Steyermark, J.","United States of America, Missouri, northwestern section",K-99,70-18,41.8144710000,-88.0516790000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,215-91,215-91*2,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Fremont, 8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park",L-103,72-44,41.8147910000,-88.0501300000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,65-92,65-92*2,United States of America,The Morton Arboretum Research Program,w,"Konsis, K.","United States of America, Illinois, Vermilion, from a spontaneous tree in Forest Glen County Preserve near Westville",I-100,08-89,41.8137690000,-88.0510200000,,
Quercus pagoda,Cherry-barked Oak,Quercus,700-46,700-46*2,United States of America,Deam Arboretum,w,"Deam, C.C.","United States of America, Indiana, Posey",N-103,90-85,41.8153920000,-88.0500060000,,
Quercus montana,Chestnut Oak,Quercus,606-2000,606-2000*3,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Franklin, on Cahas Mt.",G-100,28-56,41.8132720000,-88.0511190000,,
Quercus montana,Chestnut Oak,Quercus,606-2000,606-2000*2,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Franklin, on Cahas Mt.",F-100,94-25,41.8131760000,-88.0512280000,,
Quercus ellipsoidalis,Hill's Oak,Quercus,204-92,204-92*4,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Iowa, Winneshiek, in Bluffton Township",J-103,65-03,41.8142190000,-88.0502550000,,
Quercus mongolica,Mongolian Oak,Quercus,265-90,265-90*9,China (PRC),The Morton Arboretum-Staff,w,?,"China (PRC), Shanxi, Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)",N-96,44-55,41.8151990000,-88.0526760000,,
Quercus jackiana,Jack's Oak,Quercus,1089-39,1089-39*1,,Boston Park Dept.,g,,,K-95,87-94,41.8144880000,-88.0528680000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,326-99,326-99*1,United States of America,Nebraska Statewide Arboretum,W,?,"United States of America, Nebraska, Richardson, in the Rock Creek bluffs, 3 miles south of Salem",K-99,92-44,41.8145340000,-88.0515860000,,
Quercus shumardii,Shumard's Oak,Quercus,540-96,540-96*2,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",J-100,67-93,41.8142050000,-88.0510250000,,
Quercus gambelii,Gambel's Oak,Quercus,145-75,145-75*1,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Colorado, Teller",L-97,68-99,41.8147290000,-88.0521270000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,768-54,768-54*1,United States of America,,w,"Logue, E.C.","United States of America, Pennsylvania, from State College grounds",K-99,52-35,41.8144240000,-88.0516140000,,
Quercus lobata,California White Oak,Quercus,526-2000,526-2000*4,United States of America,International Oak Society Seed Exchange,w,?,"United States of America, California, Sacramento, native tree in Sacramento city garden",M-95,41-57,41.8149070000,-88.0530230000,,
Quercus muehlenbergii,Chinkapin Oak,Quercus,215-91,215-91*1,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Fremont, 8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park",L-103,48-67,41.8147270000,-88.0500430000,,
Quercus buckleyi,Buckley's Oak,Quercus,417-45,417-45*1,United States of America,,z,"Deam, C.C.","United States of America, Oklahoma, in Platt National Park",I-101,80-39,41.8139710000,-88.0508460000,,
Quercus alba,White Oak,Quercus,134-U,134-U*7,,columbia,u,,,J-105,04-27,41.8140730000,-88.0494260000,Kevin Douglas Grieco,
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,530-2008,530-2008*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",M-92,05-83,41.8147830000,-88.0540220000,,
Quercus macrocarpa,Bur Oak,Quercus,696-2006,696-2006*4,United States of America,,w,"Chmelir, G.","United States of America, Texas, Burleson",G-103,76-23,41.8134280000,-88.0501460000,,
Quercus gambelii,Gambel's Oak,Quercus,556-32,556-32*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,L-99,12-08,41.8145860000,-88.0517200000,,
Quercus guadalupensis,Guadalupe Oak,Quercus,544-2006,544-2006*3,United States of America,,g,"Chmelir, G.","United States of America, Texas, Burleson, in a parkway in Caldwell",L-96,87-31,41.8147660000,-88.0527450000,,
Quercus alba,White Oak,Quercus,684-33,684-33*1,,The Morton Arboretum,g,,,K-99,41-97,41.8143990000,-88.0513860000,,
Quercus acutissima,Sawtooth Oak,Quercus,644-33,644-33*1,,Arnold Arboretum of Harvard University,g,,,K-99,20-05,41.8143330000,-88.0517200000,,
Quercus variabilis,Oriental Oak,Quercus,343-2002,343-2002*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",K-98,32-00,41.8143560000,-88.0521060000,,
Quercus macrocarpa,Bur Oak,Quercus,132-2015,132-2015*1,,Possibility Place Nursery,g,,,G-103,38-06,41.8133230000,-88.0502020000,,
Quercus,Oak,Quercus,698-50,698-50*1,United States of America,,w,"Logue, E.C.","United States of America, New Jersey, below Camp Dix",L-98,96-07,41.8148070000,-88.0521010000,,
