Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*7,,Linderman's Chesterton Nurseries,g,,,Z-105,05-90,41.8184690000,-88.0493910000,"Krick, Chris",
Crocus tommasinianus Hort.,Tommasini's Snow Crocus,,Acer,534-2001,534-2001*1,,various commercial sources,g,,,Z-102,00-90,41.8184270000,-88.0504900000,,
Acer henryi Pax,Chinese Boxelder,,Acer,495-2008,495-2008*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, at Huang Tia Ping",P-99,25-44,41.8157220000,-88.0516390000,,
Acer saccharinum 'Beebe Cutleaf Weeping',Beebe Cutleaf Weeping Silver Maple,,Acer,523-55,523-55*1,,Cole Nursery Co.,g,,,O-97,80-10,41.8155770000,-88.0524910000,,
Acer tegmentosum Maxim.,Manchurian Striped Maple,,Acer,469-2013,469-2013*1,Taiwan,Dawes Arboretum,z,?,"Taiwan, Taichung, Jonghemg",R-100,47-57,41.8163420000,-88.0512530000,,
Acer micranthum Siebold & Zucc.,Small-flowered Maple,,Acer,296-2013,296-2013*5,Japan,The Morton Arboretum,z,?,"Japan, Gunma, Ikaho, Ikaho town, Kitagunma-gun",T-100,67-70,41.8169450000,-88.0512310000,,
Acer nikoense Maxim.,Nikko Maple,,Acer,218-49,218-49*1,,Dendrological garden of the Silva Tarouca Research Institute for Landscape,g,,,V-98,54-87,41.8174410000,-88.0519250000,Diane E. Vandenbroucke,
Acer saccharum 'Sweet Shadow Cut-Leaf',Sweet Shadow Cut-leaf Sugar Maple,,Acer,291-64,291-64*1,,"Doty & Doerner, Inc. Nurseries",g,,,R-102,70-40,41.8164210000,-88.0505840000,,
Narcissus 'Quail',Quail Narcissus,,Acer,538-2001,538-2001*1,,various commercial sources,g,,,Y-103,19-66,41.8182120000,-88.0502010000,,
Acer pentapomicum J.L.Stewart ex Brandis,Five Rivers Maple,,Acer,560-2001,560-2001*4,U.S.S.R.,The Morton Arboretum,z,?,"U.S.S.R., Tajik, Hissar Mts. on both sides of Kandara Valley",S-100,86-53,41.8167220000,-88.0512830000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,497-2008,497-2008*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, near Da Fang Shan",T-99,12-97,41.8167880000,-88.0514920000,,
Acer pycnanthum K.Koch,Japanese Red Maple,,Acer,552-2000,552-2000*3,Japan,The Morton Arboretum,z,"Ogata, K","Japan, Gifu, at Nagata, Ena City",Q-99,94-81,41.8161880000,-88.0515240000,,
Acer saccharum 'Temple's Upright',Temple's Upright Sugar Maple,,Acer,655-56,655-56*2,,County of Monroe Department of Parks,g,,,Q-101,82-90,41.8161750000,-88.0507560000,,
Acer rubrum 'Columnare',Upright Red Maple,,Acer,244-37,244-37*1,,Harlan P. Kelsey Nursery Co.,g,,,Q-100,78-67,41.8161530000,-88.0512070000,,
Acer saccharum Marshall,Sugar Maple,,Acer,474-74,474-74*2,United States of America,The Morton Arboretum,w,?,"United States of America, Illinois, DuPage, The Morton Arboretum, east woods of the Morton Arboretum, near Lisle",Z-105,45-30,41.8185730000,-88.0496160000,"Krick, Chris",
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,303-93,303-93*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1993 Heilongjiang,w,,"China (PRC), Heilongjiang Sheng, at Ping Shan",R-99,52-91,41.8163480000,-88.0514940000,,
Acer saccharum f. conicum Fernald,Conical Sugar Maple,,Acer,354-51,354-51*1,,Arnold Arboretum of Harvard University,g,,,O-103,97-15,41.8156790000,-88.0502760000,,
Acer nigrum F.Michx.,Black Maple,,Acer,528-63,528-63*5,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Illinois, Cook, Black Partridge Woods Forest Preserve near Lemont",W-98,70-50,41.8177560000,-88.0520740000,Kevin Michael Cross,
Acer negundo var. violaceum Booth ex G.Kirchn.,Boxelder,,Acer,476-2015,476-2015*2,United States of America,The Morton Arboretum-Staff,z,,"United States of America, Illinois, Will, right bank of the Du Page River",T-103,14-25,41.8168250000,-88.0502920000,,
Acer rubrum 'Wageri',Wager Red Maple,,Acer,533-60,533-60*1,,The Morton Arboretum,g,,,HH-99,85-05,41.8208190000,-88.0520090000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*4,,Linderman's Chesterton Nurseries,g,,,Y-107,95-35,41.8184550000,-88.0488580000,"Krick, Chris",
Acer barbatum Michx.,Florida Maple,,Acer,652-63,652-63*3,United States of America,,w,"Hardin, JW","United States of America, North Carolina, along Dixie Trail near Raleigh",BB-105,60-65,41.8191660000,-88.0495140000,,
Acer nigrum F.Michx.,Black Maple,,Acer,528-63,528-63*6,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Illinois, Cook, Black Partridge Woods Forest Preserve near Lemont",T-102,05-55,41.8167920000,-88.0505450000,,
Acer saccharum 'Coleman',Coleman Sugar Maple,,Acer,308-50,308-50*4,United States of America,The Morton Arboretum-Staff,g,"Nordine, RM","United States of America, Minnesota, from a columnar tree along Lynn Ave., Lake City",W-100,71-05,41.8177730000,-88.0515060000,"Loxley, Elizabeth Dailey
Loxley, John Richard",
Acer saccharum Marshall,Sugar Maple,,Acer,332-72,332-72*4,,Kankakee Nursery Company,g,,,Z-106,35-20,41.8185540000,-88.0492850000,"Krick, Chris",
Acer saccharinum L.,Silver Maple,,Acer,1332-36,1332-36*1,,H. Kohankie & Son,g,,,S-100,55-20,41.8166340000,-88.0514010000,,
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-100,23-81,41.8165530000,-88.0511730000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*8,,Linderman's Chesterton Nurseries,g,,,Z-105,30-10,41.8185300000,-88.0496870000,"Krick, Chris",
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-100,12-57,41.8165200000,-88.0512590000,,
Dipteronia sinensis Oliv.,Dipteronia,,Acer,514-99,514-99*3,,The Morton Arboretum,g,,,V-99,40-24,41.8174060000,-88.0517870000,,
Acer 'Senecaense',Seneca Sugar Maple,,Acer,126-52,126-52*1,,County of Monroe Department of Parks,g,,,U-102,40-45,41.8171620000,-88.0505990000,,
