PlantNumber,Taxon,Vernacular,BgLocation,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
12-2013*5,Ulmus pseudopropinqua,False Corkbark Elm,Ulmaceae,W-53,15-39,41.8171870000,-88.0685980000
17-2008*3,Ulmus japonica × wilsoniana,,Ulmaceae,Y-56,34-79,41.8178190000,-88.0673810000
398-2013*1,Ulmus davidiana var. japonica × minor,Japanese-European Field Hybrid Elm,Ulmaceae,X-55,23-77,41.8175050000,-88.0677420000
199-2013*3,Ulmus thomasii,Rock Elm,Ulmaceae,X-57,89-62,41.8177020000,-88.0670730000
587-2006*1,Ulmus pseudopropinqua,False Corkbark Elm,Ulmaceae,U-50,21-44,41.8166270000,-88.0696580000
652-62*1,Ulmus hollandica 'Rugosa Pendula',Rugosa Weeping Netherland Elm,Ulmaceae,X-51,63-66,41.8175770000,-88.0692520000
395-2013*2,Ulmus androssowii × pumila,Androssow-Siberian Elm Hybrid,Ulmaceae,V-55,85-70,41.8171250000,-88.0677500000
1114-25*1,Ulmus hollandica 'Major',Major Netherland Elm,Ulmaceae,Z-51,00-30,41.8179490000,-88.0694010000
29-2007*1,Ulmus hollandica 'Groeneveld',Groeneveld Netherland Elm,Ulmaceae,Y-50,15-74,41.8177110000,-88.0695960000
17-2008*2,Ulmus japonica × wilsoniana,,Ulmaceae,Y-56,14-18,41.8177580000,-88.0676020000
635-2006*1,Ulmus parvifolia 'Hallelujah',Hallelujah Lacebark Elm,Ulmaceae,T-50,92-67,41.8165500000,-88.0695700000
4-2004*3,Ulmus 'Morton Plainsman',Elm,Ulmaceae,AA-53,23-22,41.8183040000,-88.0687130000
60-2003*1,Ulmus 'Morton Red Tip',Elm,Ulmaceae,U-51,43-96,41.8167020000,-88.0691030000
44-95*4,Ulmus bergmanniana,Bergmann's Elm,Ulmaceae,W-51,15-93,41.8171730000,-88.0691350000
446-2007*1,Ulmus macrocarpa var. macrocarpa,Big-fruited Elm,Ulmaceae,W-49,69-90,41.8173020000,-88.0698860000
1053-28*2,Ulmus americana,American Elm,Ulmaceae,W-53,64-08,41.8173180000,-88.0687200000
29-2007*2,Ulmus hollandica 'Groeneveld',Groeneveld Netherland Elm,Ulmaceae,Y-50,40-97,41.8177810000,-88.0695150000
52-75*1,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,X-52,54-69,41.8175610000,-88.0688740000
183-84*1,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,W-55,58-20,41.8173220000,-88.0679420000
588-2006*1,Ulmus microcarpa,Small-fruited Elm,Ulmaceae,U-51,43-60,41.8166980000,-88.0692350000
176-2004*3,Ulmus 'Morton Plainsman' × parvifolia,elm,Ulmaceae,U-51,11-26,41.8166080000,-88.0693560000
51-95*1,Ulmus lamellosa,Hebei Elm,Ulmaceae,V-54,92-99,41.8171390000,-88.0680110000
106-2011*1,Ulmus thomasii,Rock Elm,Ulmaceae,V-50,63-59,41.8170210000,-88.0696250000
45-95*1,Ulmus bergmanniana var. lasiophylla,Hairy-leaved Bergmann's Elm,Ulmaceae,X-51,98-75,41.8176730000,-88.0692240000
